GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Bankito,com.app.configuration,AppConfiguration,0,13,0,0,0,5,0,2,0,2
Bankito,com.app,BankitoApplication,5,3,0,0,2,1,1,1,1,1
Bankito,com.app.ControllerHandler,ControllerHandler,3,3,0,0,1,1,1,1,1,1
Bankito,com.app.BusinessException,BusinessException,7,0,0,0,4,0,2,0,2,0
Bankito,com.app.service.impl,TransactionsServiceImpl,218,10,4,0,54,3,6,2,4,2
Bankito,com.app.service.impl,CustomerSearchServiceImpl,15,17,0,0,3,4,1,4,1,4
Bankito,com.app.service.impl,CustomerCRUDServiceImpl,19,21,0,0,4,5,2,4,2,4
Bankito,com.app.model,Admin,126,0,22,0,3,0,20,0,9,0
Bankito,com.app.model,Customer,228,177,48,6,0,12,37,14,10,14
Bankito,com.app.model,Transactions,164,112,33,3,0,9,27,9,9,9
Bankito,com.app.controller,CustomerCRUDController,49,3,2,0,14,1,5,1,4,1
Bankito,com.app.controller,CustomerLoginValidationController,29,3,4,0,8,1,3,1,1,1
Bankito,com.app.controller,CustomerSearchController,19,3,0,0,4,1,4,1,4,1
Bankito,com.app.controller,TransactionController,58,3,0,0,14,1,5,1,5,1
Bankito,com.app.controller,AdminController,23,8,6,0,6,3,4,2,1,2
